,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
0,Theresa Blue,COMPUTER,62.0,4.0,64.1,74.0,8,2003-2-19
1,Teresa Gipson,ENTC,66.0,21.0,297.0,39.0,2,2001-3-2
2,Miguel Gibson,MECHANICAL,43.0,71.0,218.0,67.0,7,2002-2-15
3,Diane Griffin,ENTC,58.0,69.0,53.0,21.6,7,2001-4-5
4,Leigh Taylor,MECHANICAL,,71.0,252.0,84.0,2,2002-5-7
5,Cecelia Arana,COMPUTER,41.0,68.0,283.0,21.4,2,2001-12-19
6,Darnell Arredondo,COMPUTER,72.0,30.0,20.0,19.1,10,2003-5-14
7,Twyla Brown,COMPUTER,47.0,46.6,61.6,85.0,9,2003-4-3
8,Fernando Lai,COMPUTER,,4.0,68.2,33.2,2,2002-3-28
9,Tim Palmer,ENTC,35.0,,51.0,62.0,4,2001-8-7
10,Rachael Gaff,COMPUTER,,95.0,51.0,22.4,9,2003-5-27
11,Larry Ricardo,COMPUTER,50.0,60.0,19.0,22.9,5,2002-6-7
12,Fermin Smith,MECHANICAL,51.0,47.2,14.0,39.0,10,2003-6-9
13,Chad Seibert,MECHANICAL,50.0,71.0,40.0,61.0,7,2001-9-24
14,Isabel Paxton,COMPUTER,39.0,27.0,36.0,68.0,6,2003-6-15
15,Theresa Sherman,MECHANICAL,57.0,67.0,229.0,,4,2002-6-6
16,Violet Russell,ENTC,96.0,63.0,54.0,86.0,8,2001-3-7
17,Diana Sawyers,COMPUTER,56.0,85.0,100.0,81.0,5,2001-12-4
18,Stella Goode,ENTC,47.0,29.0,59.0,51.0,2,2002-2-2
19,Colleen Pao,COMPUTER,73.0,60.0,88.0,60.0,3,2001-12-2
20,William Fernandez,MECHANICAL,67.0,58.0,37.0,6.5,9,2001-9-23
21,Harold Dunn,COMPUTER,,76.0,41.0,61.0,10,2003-9-25
22,Paul Luyando,COMPUTER,55.0,70.0,57.6,11.3,3,2002-2-4
23,Stephanie Holland,MECHANICAL,26.0,58.0,74.7,,5,2003-11-23
24,Penelope Weiner,COMPUTER,9.0,56.0,64.9,91.0,2,2003-7-8
25,Nancy Barnhill,MECHANICAL,4.0,5.0,66.4,4.7,4,2002-10-25
26,Dona Browning,COMPUTER,58.0,19.0,56.9,95.0,5,2002-4-19
27,Ana Cooper,ENTC,80.0,67.0,25.0,67.0,10,2002-6-11
28,Scott Mckoy,COMPUTER,52.0,79.0,4.0,27.3,2,2002-6-28
29,Tosha Ballard,ENTC,55.0,68.0,185.0,99.0,1,2002-3-29
30,Alison Herman,ENTC,61.0,87.0,62.4,27.4,4,2002-11-2
31,Joe Viele,COMPUTER,46.0,49.2,44.0,11.0,3,2003-10-4
32,Claudette Crowder,ENTC,33.0,87.0,65.6,93.0,7,2003-8-27
33,Elizabeth Golden,MECHANICAL,43.0,,79.0,64.0,4,2002-7-25
34,Ruth Griffin,ENTC,83.0,44.8,44.0,,5,2003-1-9
35,Antonio Bruno,COMPUTER,46.0,5.0,152.0,100.0,4,2001-9-4
36,Norma Price,COMPUTER,50.0,,57.3,9.1,6,2003-1-8
37,William Rivero,COMPUTER,84.0,58.0,14.0,69.0,6,2001-4-5
38,Anthony Moore,MECHANICAL,,100.0,88.0,59.0,2,2001-2-3
39,Jason Cormany,COMPUTER,66.0,28.0,21.0,73.0,5,2002-10-12
40,Mary Yates,COMPUTER,45.0,87.0,56.1,13.9,3,2001-7-20
41,David Louie,ENTC,92.0,83.0,51.0,3.8,7,2001-11-7
42,Lincoln Freeman,ENTC,87.0,47.0,85.0,83.0,1,2003-8-4
43,Lester Cabler,COMPUTER,79.0,21.0,46.0,92.0,7,2002-5-27
44,Justine Swift,COMPUTER,87.0,6.0,68.5,82.0,4,2001-8-25
